scenario,rep,method,SHD,F1,Precision,Recall,n_oriented,Dir_Prec,Dir_Rec,Dir_F1,Comm,Runtime
p20_K2,0,local,31.0,0.6356589095804261,0.6437889958759031,0.6279069765981611,0,0.0,0.0,0.1984451695606445,3200,6.785266399383545
p20_K2,1,local,22.0,0.7289377237646755,0.722488038099617,0.737499999815625,0,0.0,0.0,0.3822222185554788,3200,3.0498697757720947
p20_K2,2,local,38.5,0.5442576982190751,0.7073863634187489,0.4423076922226331,0,0.0,0.0,0.2049837450256498,3200,4.513167381286621
p20_K2,3,local,15.0,0.7502780815181805,0.752232142604532,0.74999999975,0,0.0,0.0,0.5115646210356303,3200,1.7406790256500244
p20_K2,4,local,33.5,0.6084815270070323,0.5983086679384098,0.6190476189002267,0,0.0,0.0,0.1818796448937503,3200,3.067329168319702
p20_K2,5,local,20.0,0.6969696917630854,0.6764705880363322,0.7187499997753906,0,0.0,0.0,0.43725574874435713,3200,3.177211046218872
p20_K2,6,local,26.0,0.7012557780598095,0.7272727270989152,0.6777777776271605,0,0.0,0.0,0.18019480206381241,3200,3.8108224868774414
p20_K2,7,local,45.0,0.5112844095512532,0.6198891197254914,0.43518518510459536,0,0.0,0.0,0.20372208177361478,3200,4.550069570541382
p20_K2,8,local,26.5,0.6243961300966476,0.6037593983302674,0.6470588233391004,0,0.0,0.0,0.44448979143862394,3200,2.6769773960113525
p20_K2,9,local,48.0,0.47246376302794235,0.499999999883658,0.4479166665733507,0,0.0,0.0,0.1412907242130016,3200,4.990457057952881
p20_K2,10,local,27.5,0.640635675019278,0.7317290550398765,0.569767441727961,0,0.0,0.0,0.18954248064356777,3200,4.932208776473999
p20_K2,11,local,21.5,0.7028930286929185,0.6794871793058295,0.7285714283632653,0,0.0,0.0,0.37499999589409727,3200,1.6196537017822266
p20_K2,12,local,22.0,0.6129429840073828,0.6243589741350756,0.6034482756539834,0,0.0,0.0,0.37289972446154185,3200,3.103698492050171
p20_K2,13,local,22.0,0.7214743537998265,0.7501732499756537,0.6951219510499702,0,0.0,0.0,0.2570643610714702,3200,3.0665903091430664
p20_K2,14,local,22.5,0.6717948666111788,0.6706281831640633,0.6764705880363322,0,0.0,0.0,0.18881505762204617,3200,3.2447235584259033
p20_K2,15,local,24.0,0.6843289991637614,0.7227799225788405,0.6499999998375,0,0.0,0.0,0.377201724137743,3200,2.9884631633758545
p20_K2,16,local,21.5,0.7184615332865167,0.7530075185904546,0.687499999828125,0,0.0,0.0,0.3047895463300971,3200,2.1346957683563232
p20_K2,17,local,23.0,0.7047509400774583,0.704605262977242,0.705128204947403,0,0.0,0.0,0.4617844535979246,3200,2.635528087615967
p20_K2,18,local,20.0,0.7526307710874667,0.7438878948688205,0.762499999809375,0,0.0,0.0,0.39962893885064976,3200,4.297959327697754
p20_K2,19,local,16.5,0.7625258747106487,0.7259759757770552,0.8030303027869605,0,0.0,0.0,0.46640315794565024,3200,3.3773884773254395
p20_K5,0,local,17.4,0.7322511260101533,0.7685641996247417,0.6999999997941176,0,0.0,0.0,0.4673500164811921,8000,3.4870615005493164
p20_K5,1,local,34.2,0.5344006055971852,0.572979368652233,0.50256410243524,0,0.0,0.0,0.19744112713621303,8000,6.111202001571655
p20_K5,2,local,19.4,0.6978329145577952,0.7188074710331815,0.6787878785821855,0,0.0,0.0,0.3434719885389702,8000,3.9334559440612793
p20_K5,3,local,27.6,0.6617494498654449,0.7807045240079933,0.5744680849841557,0,0.0,0.0,0.2929803815428041,8000,8.092818260192871
p20_K5,4,local,37.8,0.5000122526691391,0.6169658117632394,0.42222222212839505,0,0.0,0.0,0.26071947235637816,8000,7.942892074584961
p20_K5,5,local,5.4,0.9119936488833504,0.9862068962040812,0.8484848482277318,0,0.0,0.0,0.5894706041861356,8000,3.6917500495910645
p20_K5,6,local,8.2,0.8554580843719893,0.848690318003437,0.8642857139770408,0,0.0,0.0,0.6211576944324944,8000,2.804112195968628
p20_K5,7,local,26.6,0.6554029196223302,0.7612935004851017,0.5772727271415289,0,0.0,0.0,0.40235196673647894,8000,4.650924921035767
p20_K5,8,local,19.4,0.7104556217936822,0.7216125538935358,0.6999999997941176,0,0.0,0.0,0.33424188106355696,8000,5.148343086242676
p20_K5,9,local,16.8,0.7353247282887151,0.7643536586974944,0.7090909088760331,0,0.0,0.0,0.4059700793795672,8000,4.907754421234131
p20_K5,10,local,23.4,0.6611229515069135,0.7366448829652384,0.5999999998421053,0,0.0,0.0,0.22555082410559768,8000,4.203478813171387
p20_K5,11,local,15.6,0.7589717174981894,0.7277021260895415,0.7935483868407908,0,0.0,0.0,0.5034160710465531,8000,2.9172329902648926
p20_K5,12,local,22.8,0.6905405353928964,0.7574054619586492,0.63499999984125,0,0.0,0.0,0.39350211480858793,8000,3.698112964630127
p20_K5,13,local,18.6,0.7337323863018853,0.715939357998935,0.7529411762491349,0,0.0,0.0,0.45531449280202185,8000,4.1243579387664795
p20_K5,14,local,18.0,0.7324226747773117,0.7015767570371408,0.7687499997597655,0,0.0,0.0,0.4570482904179681,8000,3.3004350662231445
p20_K5,15,local,27.8,0.6448862793389072,0.7187456685397015,0.586046511491617,0,0.0,0.0,0.24930998597698845,8000,7.88068699836731
p20_K5,16,local,20.0,0.7055003767850623,0.7503676468234902,0.6666666664814814,0,0.0,0.0,0.37388102068236023,8000,3.133711099624634
p20_K5,17,local,24.6,0.6398759367517675,0.7760968975105722,0.54499999986375,0,0.0,0.0,0.22139307573310107,8000,5.042306661605835
p20_K5,18,local,26.4,0.6048140200352992,0.7039396549255328,0.5315789472285318,0,0.0,0.0,0.27864047655806823,8000,5.148446321487427
p20_K5,19,local,23.0,0.6394604026736562,0.7104178067208048,0.5828571426906122,0,0.0,0.0,0.28674810994806804,8000,6.325744867324829
p20_K10,0,local,13.3,0.7680245159255816,0.8343944096214001,0.7129032255764828,0,0.0,0.0,0.5120922472874551,16000,8.31178593635559
p20_K10,1,local,20.9,0.7244257880125415,0.8368599177687177,0.6395348835722012,0,0.0,0.0,0.27687289909610946,16000,6.793070554733276
p20_K10,2,local,16.5,0.7191106110547099,0.7124839330738905,0.7275862066456599,0,0.0,0.0,0.4427410800191378,16000,5.085867166519165
p20_K10,3,local,30.8,0.5980641582942973,0.6835409817943896,0.532558139411033,0,0.0,0.0,0.22052912270149844,16000,7.2259886264801025
p20_K10,4,local,39.3,0.48856107971402407,0.5897953551845054,0.4177777776849383,0,0.0,0.0,0.2949663682613138,16000,10.982132911682129
p20_K10,5,local,16.9,0.7076597121487535,0.8604850765978694,0.6029411762932526,0,0.0,0.0,0.2916188307311476,16000,7.453441619873047
p20_K10,6,local,8.2,0.8493442472933698,0.8813550702938484,0.8214285711352041,0,0.0,0.0,0.34843113037254636,16000,6.694267749786377
p20_K10,7,local,24.1,0.6129952177342733,0.6526296691891653,0.5787878786124885,0,0.0,0.0,0.290866514881294,16000,7.399030923843384
p20_K10,8,local,28.3,0.5996440713325226,0.6914357551104853,0.5299999998675,0,0.0,0.0,0.359351308251282,16000,9.738158702850342
p20_K10,9,local,11.9,0.8153447627475412,0.8618749780878027,0.7764705880069205,0,0.0,0.0,0.4589642599854241,16000,6.385358810424805
p20_K10,10,local,19.0,0.7354666974863301,0.8068356606832232,0.6769230767495069,0,0.0,0.0,0.30211153928624584,16000,6.462661504745483
p20_K10,11,local,19.4,0.6605304432846668,0.6705131711367034,0.651724137706302,0,0.0,0.0,0.2981392282795481,16000,4.954731225967407
p20_K10,12,local,26.9,0.5864773046981814,0.7343175180846269,0.4897435896180145,0,0.0,0.0,0.27381428474729386,16000,10.978935241699219
p20_K10,13,local,19.6,0.7046971625328295,0.7964177125310355,0.6324324322615047,0,0.0,0.0,0.18521929745254828,16000,7.2368175983428955
p20_K10,14,local,28.5,0.6266846030214064,0.7416523319024153,0.5431818180583677,0,0.0,0.0,0.2700141335983932,16000,7.799910306930542
p20_K10,15,local,16.1,0.7510097490078748,0.8775055082226968,0.6567567565792548,0,0.0,0.0,0.502174395279032,16000,4.827192068099976
p20_K10,16,local,28.4,0.5791026222012243,0.6900649967348313,0.49999999987179483,0,0.0,0.0,0.2856388556795729,16000,11.040785789489746
p20_K10,17,local,24.3,0.6085672172710035,0.7332048121401751,0.5222222220771605,0,0.0,0.0,0.32940151037494325,16000,7.268294334411621
p20_K10,18,local,22.6,0.6722846127557611,0.7738347830984801,0.5948717947192635,0,0.0,0.0,0.2864462591096669,16000,7.660845994949341
p20_K10,19,local,26.3,0.6031425787012421,0.660431299108734,0.5555555554012347,0,0.0,0.0,0.23238948800139853,16000,6.305781602859497
p20_N100,0,local,26.2,0.3910802333931785,0.7052447546494143,0.2709677418480749,0,0.0,0.0,0.06800817461292201,8000,2.30678129196167
p20_N100,1,local,38.2,0.36403522134484934,0.9023931616325085,0.2291666666189236,0,0.0,0.0,0.1542820901808114,8000,1.6415281295776367
p20_N100,2,local,28.2,0.4548520224029057,0.9271794864378962,0.302564102486522,0,0.0,0.0,0.14046717773310488,8000,1.372718095779419
p20_N100,3,local,34.6,0.3649488796016982,0.7967132860622557,0.23809523803854873,0,0.0,0.0,0.07458678724977305,8000,2.0133445262908936
p20_N100,4,local,39.8,0.3251548768415125,0.8003496496786088,0.2042553191054776,0,0.0,0.0,0.10468782875528267,8000,1.3739078044891357
p20_N100,5,local,33.4,0.33453688831665684,0.8277777769552468,0.20999999994750002,0,0.0,0.0,0.11464361042888438,8000,1.3723936080932617
