comparison,mean_diff,ci_lo,ci_hi,cohen_d,wilcoxon_stat,p_value,n,description,metric
consensusW_noSep vs equalW_noSep,0.0,0.0,0.0,0.0,,,20,Skeleton-weighting effect alone (Sepset aggregation off both sides),F1
consensusW_noSep vs equalW_noSep,0.0,0.0,0.0,0.0,,,20,Skeleton-weighting effect alone (Sepset aggregation off both sides),Dir_F1
consensusW_equalSep vs consensusW_noSep,0.0,0.0,0.0,0.0,,,20,Sepset-aggregation effect (skeleton weight fixed = consensus),F1
consensusW_equalSep vs consensusW_noSep,0.2691403791606374,0.20863926071866018,0.3296414976026146,2.081971012094966,0.0,1.9073486328125e-06,20,Sepset-aggregation effect (skeleton weight fixed = consensus),Dir_F1
consensusW_consensusSep vs consensusW_equalSep,0.0,0.0,0.0,0.0,,,20,Sepset-weighting effect (Sepset aggregation on both sides),F1
consensusW_consensusSep vs consensusW_equalSep,0.0,0.0,0.0,0.0,,,20,Sepset-weighting effect (Sepset aggregation on both sides),Dir_F1
equalW_equalSep vs equalW_noSep,0.0,0.0,0.0,0.0,,,20,Sepset-aggregation effect (skeleton weight fixed = equal),F1
equalW_equalSep vs equalW_noSep,0.2691403791606374,0.20863926071866018,0.3296414976026146,2.081971012094966,0.0,1.9073486328125e-06,20,Sepset-aggregation effect (skeleton weight fixed = equal),Dir_F1
consensusW_consensusSep vs equalW_equalSep,0.0,0.0,0.0,0.0,,,20,Full proposed method vs equal-weight-but-Sepset-aware control,F1
consensusW_consensusSep vs equalW_equalSep,0.0,0.0,0.0,0.0,,,20,Full proposed method vs equal-weight-but-Sepset-aware control,Dir_F1
