rep,client,SHD,F1,Precision,Recall
0,0,13,0.8115941976895611,0.8749999997265625,0.7567567565522278
0,1,24,0.6666666614853396,0.6857142855183673,0.6486486484733381
0,2,25,0.6478873187700853,0.6764705880363322,0.6216216214536158
0,3,24,0.6470588183780277,0.7096774191259105,0.5945945944338933
0,4,20,0.7142857090979593,0.7575757573461891,0.6756756754930606
1,0,9,0.8524590111260415,0.8124999997460938,0.8965517238287752
1,1,6,0.8928571375446429,0.9259259255829904,0.8620689652199762
1,2,7,0.8727272674247935,0.9230769227218935,0.8275862066111771
1,3,18,0.6785714233354593,0.7037037034430726,0.6551724135671819
1,4,12,0.7931034430023782,0.7931034480023781,0.7931034480023781
2,0,42,0.5333333284617284,0.6857142855183673,0.43636363628429753
2,1,44,0.52173912551276,0.6486486484733381,0.43636363628429753
2,2,45,0.47058823061591704,0.6666666664444444,0.3636363635702479
2,3,49,0.4096385496472638,0.6071428569260204,0.30909090903471076
2,4,58,0.39583332835720486,0.4634146340333135,0.34545454539173553
3,0,32,0.6190476140391158,0.742857142644898,0.530612244789671
3,1,39,0.5301204769632748,0.6470588233391004,0.4489795917451062
3,2,38,0.5365853609131471,0.6666666664646465,0.4489795917451062
3,3,36,0.5714285664314059,0.6857142855183673,0.48979591826738855
3,4,30,0.6341463364991077,0.7878787876400367,0.530612244789671
4,0,15,0.7945205427735035,0.8787878785215794,0.72499999981875
4,1,20,0.7222222170833333,0.8124999997460938,0.6499999998375
4,2,24,0.66666666154321,0.749999999765625,0.59999999985
4,3,12,0.8285714234367347,0.9666666663444444,0.72499999981875
4,4,19,0.7466666614897777,0.7999999997714285,0.6999999998249999
5,0,32,0.5555555504166667,0.5882352939446367,0.5263157893351801
5,1,24,0.6666666614969138,0.705882352733564,0.6315789472022161
5,2,36,0.5135135083783784,0.5277777776311728,0.49999999986842103
5,3,32,0.5789473632686981,0.5789473682686981,0.5789473682686981
5,4,31,0.5974025922482712,0.5897435895923734,0.605263157735457
6,0,8,0.8749999947265626,0.8749999997265625,0.8749999997265625
6,1,7,0.8888888836079617,0.9032258061602497,0.8749999997265625
6,2,9,0.8524590111260415,0.8965517238287752,0.8124999997460938
6,3,9,0.8615384562745563,0.8484848482277318,0.8749999997265625
6,4,8,0.8709677366597295,0.8999999997,0.8437499997363281
7,0,21,0.719999994816,0.7499999997916666,0.6923076921301775
7,1,23,0.676056332886332,0.749999999765625,0.6153846152268244
7,2,25,0.637681154320521,0.7333333330888888,0.5641025639579224
7,3,28,0.5882352890527682,0.6896551721759809,0.5128205126890204
7,4,25,0.666666661496889,0.6944444442515432,0.6410256408612754
8,0,17,0.738461533235503,0.7272727270523416,0.749999999765625
8,1,22,0.6666666614692378,0.6470588233391004,0.6874999997851562
8,2,16,0.7499999947656251,0.749999999765625,0.749999999765625
8,3,14,0.7878787826446281,0.7647058821280277,0.8124999997460938
8,4,16,0.7419354786368366,0.7666666664111111,0.7187499997753906
9,0,22,0.6451612851352758,0.6896551721759809,0.6060606058769513
9,1,22,0.6451612851352758,0.6896551721759809,0.6060606058769513
9,2,21,0.686567158975273,0.6764705880363322,0.696969696758494
9,3,18,0.7096774141467221,0.7586206893935791,0.6666666664646465
9,4,22,0.6666666614646465,0.6666666664646465,0.6666666664646465
10,0,31,0.5753424606192532,0.6176470586418685,0.5384615383234714
10,1,28,0.621621616468225,0.657142856955102,0.5897435895923734
10,2,26,0.6486486434879474,0.6857142855183673,0.6153846152268244
10,3,24,0.6363636313360883,0.7777777774897119,0.5384615383234714
10,4,22,0.6857142805836735,0.7741935481373569,0.6153846152268244
11,0,22,0.6857142806204082,0.7999999997333334,0.59999999985
11,1,22,0.7027026975456537,0.7647058821280277,0.6499999998375
11,2,25,0.6376811543625289,0.7586206893935791,0.5499999998625
11,3,26,0.6578947316828254,0.6944444442515432,0.62499999984375
11,4,26,0.6176470537975779,0.7499999997321428,0.52499999986875
12,0,28,0.5882352889835641,0.6451612901144641,0.5405405403944485
12,1,25,0.6268656665092449,0.6999999997666666,0.5675675674141709
12,2,23,0.6461538410508876,0.7499999997321428,0.5675675674141709
12,3,25,0.6153846102911243,0.7142857140306123,0.5405405403944485
12,4,22,0.6764705830752595,0.7419354836316336,0.6216216214536158
13,0,14,0.8157894684695292,0.815789473469529,0.815789473469529
13,1,16,0.7948717896712689,0.77499999980625,0.815789473469529
13,2,19,0.7397260222030401,0.7714285712081632,0.710526315602493
13,3,20,0.7297297245361578,0.7499999997916666,0.710526315602493
13,4,16,0.7837837785756028,0.8055555553317901,0.763157894536011
14,0,27,0.5846153797017751,0.759999999696,0.47499999988124997
14,1,34,0.5405405354273193,0.5882352939446367,0.499999999875
14,2,33,0.559999994872889,0.5999999998285714,0.52499999986875
14,3,30,0.6153846102301118,0.6315789472022161,0.59999999985
14,4,30,0.5588235244031142,0.6785714283290816,0.47499999988124997
15,0,23,0.6461538409846154,0.6999999997666666,0.5999999998285714
15,1,25,0.6268656664646916,0.6562499997949218,0.5999999998285714
15,2,19,0.7164179052439297,0.749999999765625,0.6857142855183673
15,3,24,0.6363636311891644,0.6774193546201873,0.5999999998285714
15,4,22,0.6666666614830121,0.7096774191259105,0.6285714283918368
16,0,12,0.7999999947333335,0.7999999997333334,0.7999999997333334
16,1,17,0.7301587249382716,0.696969696758494,0.7666666664111111
16,2,11,0.8070175385903356,0.8518518515363511,0.7666666664111111
16,3,11,0.8196721258801398,0.8064516126430801,0.8333333330555556
