condition,n,K_used,n_canonical_cols,SHD_mean,SHD_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,n_oriented_mean,n_oriented_std,Dir_Prec_mean,Dir_Prec_std,Dir_Rec_mean,Dir_Rec_std,Dir_F1_mean,Dir_F1_std
observational_only,853,5,11,12.0,0.9428090415820634,0.8464682527650245,0.03324684864752147,0.35882352920069205,0.05849581914275265,0.5016880465180902,0.06244921836851724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2camp.csv [interventional],707,5,11,11.5,0.7071067811865476,0.8033333324415739,0.040988304986059834,0.42941176445328716,0.03970285631256025,0.5585754936184978,0.03654606260200538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28.csv [observational],853,5,11,12.0,0.9428090415820634,0.8464682527650245,0.03324684864752147,0.35882352920069205,0.05849581914275265,0.5016880465180902,0.06244921836851724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28_aktinhib.csv [interventional],911,5,11,13.1,0.31622776601683794,0.7464285704827806,0.011293848812533485,0.3470588233252595,0.018601633284165975,0.47366666195635015,0.020027758433181927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28_g0076.csv [interventional],723,5,11,14.8,0.4216370213557839,0.7599999981800001,0.021081851183739356,0.1882352940069204,0.024802177712221297,0.30129869784529906,0.03285483262759526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28_icam2.csv [interventional],902,5,11,12.1,0.31622776601683794,0.7749999991284721,0.008784104634759114,0.4058823527024222,0.018601633284165975,0.532615379695039,0.018487161640827282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28_ly.csv [interventional],848,5,11,12.5,0.5270462766947299,0.8452380939314059,0.012548720960329964,0.32352941157439447,0.03100272214027662,0.4673912999563183,0.034372583097098355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28_psitect.csv [interventional],810,5,11,12.8,0.6324555320336759,0.837142855782177,0.01721325943076408,0.30588235276124565,0.03720326656833195,0.4472331972915041,0.04251998193630513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28_u0126.csv [interventional],799,5,11,12.7,0.4830458915396479,0.7583333324178241,0.013417941467065353,0.3705882350761246,0.02841446419150019,0.49753845674101316,0.028239605867991673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28icam2_aktinhib.csv [interventional],899,5,11,12.1,0.31622776601683794,0.7749999991284721,0.008784104634759114,0.4058823527024222,0.018601633284165975,0.532615379695039,0.018487161640827282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28icam2_g0076.csv [interventional],753,5,11,11.9,0.7378647873726218,0.7868253959297689,0.030740695144211655,0.4117647056401384,0.04802921061455493,0.5391623882531366,0.043589491418568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28icam2_ly.csv [interventional],927,5,11,12.1,0.7378647873726218,0.77388888801554,0.01871195276083357,0.4058823527024221,0.04340381099638727,0.5317492828374973,0.04171737352080519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28icam2_psit.csv [interventional],868,5,11,12.4,0.5163977794943222,0.7666666657731481,0.014344382801584416,0.38823529388927336,0.03037633995238581,0.515076918218026,0.03018940854158737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cd3cd28icam2_u0126.csv [interventional],759,5,11,11.7,0.4830458915396479,0.7844444435995062,0.01073435317633588,0.42941176445328716,0.028414464191500188,0.5547008497114106,0.02614778322443736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pma.csv [interventional],913,5,11,11.6,0.8432740427115678,0.785555554715216,0.020819954609444746,0.43529411739100343,0.049604355424442595,0.5592478582507692,0.04725323736777411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
