metric,mean,std
centralized_SHD,21.0,0.0
centralized_F1,0.5333333283950615,1.1702778228589004e-16
centralized_Precision,0.4285714284183674,5.851389114294502e-17
centralized_Recall,0.7058823525259516,0.0
centralized_Dir_F1,0.20689654673008334,0.0
centralized_Dir_Prec,0.24999999979166665,0.0
centralized_Dir_Rec,0.1764705881314879,0.0
local_SHD,19.720000000000002,0.6811754546370564
local_F1,0.509340519871454,0.016931055072166537
local_Dir_F1,0.24560273533750338,0.057025413245611126
naive_SHD,19.7,0.8232726023485646
naive_F1,0.510387765642222,0.030566495560810765
naive_Precision,0.44152350529012735,0.01844941261562741
naive_Recall,0.6058823525847751,0.05580489985249792
naive_Dir_F1,0.0,0.0
naive_Dir_Prec,0.0,0.0
naive_Dir_Rec,0.0,0.0
fedpc_consensus_SHD,19.7,0.8232726023485646
fedpc_consensus_F1,0.510387765642222,0.030566495560810765
fedpc_consensus_Precision,0.44152350529012735,0.01844941261562741
fedpc_consensus_Recall,0.6058823525847751,0.05580489985249792
fedpc_consensus_Dir_F1,0.20797887207158633,0.04079056227300722
fedpc_consensus_Dir_Prec,0.20623151002720622,0.04557327709968855
fedpc_consensus_Dir_Rec,0.21176470575778547,0.041129758727576675
fedpc_oracle_SHD,19.5,0.97182531580755
fedpc_oracle_F1,0.5130193445827465,0.028087755785452983
fedpc_oracle_Precision,0.4460347834810935,0.02034826165720782
fedpc_oracle_Recall,0.6058823525847751,0.05580489985249792
fedpc_oracle_Dir_F1,0.20507749887049523,0.047144395581283034
fedpc_oracle_Dir_Prec,0.1994427243469472,0.04640471107451954
fedpc_oracle_Dir_Rec,0.21176470575778547,0.04960435542444261
