comparison,mean_diff,ci_lo,ci_hi,cohen_d,wilcoxon_stat,p_value,n,scenario,metric
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_K2,F1
fedpc_consensus vs naive,0.28207751933478104,0.2253842427878981,0.338770795881664,2.3286066852320015,0.0,1.9073486328125e-06,20,p20_K2,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_K5,F1
fedpc_consensus vs naive,0.3193764408517663,0.2676604335506722,0.3710924481528604,2.8902613173161136,0.0,1.9073486328125e-06,20,p20_K5,Dir_F1
fedpc_consensus vs naive,-0.001201544761495088,-0.008418015909680807,0.006014926386690632,-0.07792454882092648,27.0,0.9593536340401635,20,p20_K10,F1
fedpc_consensus vs naive,0.3150402152119525,0.2635043821183579,0.36657604830554713,2.86098720965101,0.0,1.9073486328125e-06,20,p20_K10,Dir_F1
fedpc_consensus vs naive,0.0019914651388279027,-0.0021767193002543888,0.006159649577910194,0.22360679772487183,0.0,0.31731050786291415,20,p20_N100,F1
fedpc_consensus vs naive,0.05494696471447606,0.02716857026218168,0.08272535916677044,0.9257544066901218,0.0,0.002217721464237049,20,p20_N100,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_N3000,F1
fedpc_consensus vs naive,0.2779614982836086,0.23077146690938105,0.32515152965783617,2.7567259829487867,0.0,1.9073486328125e-06,20,p20_N3000,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_N5000,F1
fedpc_consensus vs naive,0.3187631747955274,0.2783485525626192,0.3591777970284356,3.6913807378669565,0.0,1.9073486328125e-06,20,p20_N5000,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_phi0.1,F1
fedpc_consensus vs naive,0.23596569652826963,0.14262506621276705,0.3293063268437722,1.1831433430682874,0.0,0.0009815397525216685,20,p20_phi0.1,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_phi0.2,F1
fedpc_consensus vs naive,0.2783219935081115,0.23426216228880203,0.32238182472742094,2.9564049379933732,0.0,1.9073486328125e-06,20,p20_phi0.2,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_hetero_None,F1
fedpc_consensus vs naive,0.3303677610209836,0.2860575461922663,0.37467797584970086,3.4894182339344133,0.0,1.9073486328125e-06,20,p20_hetero_None,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_hetero_mild,F1
fedpc_consensus vs naive,0.33257114106906316,0.28525006333612773,0.3798922188019986,3.289191468899263,0.0,1.9073486328125e-06,20,p20_hetero_mild,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_hetero_strong,F1
fedpc_consensus vs naive,0.29773547829701646,0.2352109065428833,0.36026005005114964,2.22863570649041,0.0,1.9073486328125e-06,20,p20_hetero_strong,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_tau0.3,F1
fedpc_consensus vs naive,0.32063688928207745,0.26440478869316614,0.37686898987098877,2.668630227945287,0.0,1.9073486328125e-06,20,p20_tau0.3,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_tau0.5,F1
fedpc_consensus vs naive,0.29355405195645284,0.25279555786046903,0.33431254605243665,3.3707703982743236,0.0,1.9073486328125e-06,20,p20_tau0.5,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_ell1,F1
fedpc_consensus vs naive,0.2833705130573862,0.23995058822141754,0.3267904378933549,3.05439226265463,0.0,1.9073486328125e-06,20,p20_ell1,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_ell2,F1
fedpc_consensus vs naive,0.31235408492656164,0.26306051857048585,0.36164765128263743,2.965624572431292,0.0,1.9073486328125e-06,20,p20_ell2,Dir_F1
fedpc_consensus vs naive,0.0,0.0,0.0,0.0,,,20,p20_mechanism_shift,F1
fedpc_consensus vs naive,0.3641644755240064,0.3040355383987996,0.42429341264921316,2.83447918753932,0.0,1.9073486328125e-06,20,p20_mechanism_shift,Dir_F1
